,background,Clothes,Face,Eye,Tattoo,JEWELRY1,JEWELRY2,JEWELRY3
0,Poseidon,T-shirt,panda,Anger,Tattoo5,none,Hat,Rimmed-glasses
1,Hera,Basketball clothes,panda,Anger,Tattoo5,Lollipop,Hat,Rimmed-glasses
2,Aphrodite,Red-and-black-shirt,panda,Boring,Tattoo5,Cigarette,Kill-Matt,Rimmed-glasses
3,"Athena, goddess of war and wisdom",T-shirt,panda,Boring,Tattoo4,Lollipop,Hat,Rimmed-glasses
4,"Demeter, goddess of agriculture",Football uniform,panda,Boring,Tattoo1,Cigarette,Horns,Sunglasses
5,"Demeter, goddess of agriculture",White shirt,panda,Happy,Tattoo4,none,none,Glasses
6,Angel Hermes,Jacket,panda,white-eyes,Tattoo1,none,Kill-Matt,Glasses
7,Aphrodite,Red-and-black-shirt,panda,Happy,Tattoo5,none,Hat,Sunglasses
8,"Athena, goddess of war and wisdom",Dancing unifom,panda,Happy,Tattoo5,Lollipop,Hat,none
9,God Hestia2,Football uniform,panda,Boring,none,none,Hat,none
10,Hera,Suit,panda,Happy,Tattoo4,Lollipop,Hat,Sunglasses
11,"Athena, goddess of war and wisdom",Basketball clothes,panda,white-eyes,none,Cigarette,Horns,Sunglasses
12,"Zeus, king of the gods",White shirt,panda,Anger,Tattoo2,Lollipop,Horns,Rimmed-glasses
13,Vulcan Hephaestus,T-shirt,panda,white-eyes,none,none,none,Scarf
14,Poseidon,Red-and-black-shirt,panda,white-eyes,Tattoo2,none,Kill-Matt,Scarf
15,Hera,T-shirt,panda,Anger,none,Cigar,Kill-Matt,Glasses
16,Ares,Dancing unifom,panda,white-eyes,Tattoo3,none,Horns,Scarf
17,Ares,T-shirt,panda,Boring,none,Cigar,Hat,Rimmed-glasses
18,"Demeter, goddess of agriculture",Dancing unifom,panda,Happy,Tattoo3,Cigarette,Kill-Matt,none
19,Angel Hermes,Jacket,panda,white-eyes,Tattoo2,none,Hat,none
